iter	MAP:top=3
0	0.8481433803
1	0.8481433803
2	0.8481433803
3	0.8481433803
4	0.8481433803
5	0.8481433803
6	0.8481433803
7	0.8481433803
8	0.8481433803
9	0.8481433803
10	0.8481433803
11	0.8481433803
12	0.8481433803
13	0.8481433803
14	0.8481433803
15	0.8481433803
16	0.8481433803
17	0.8481433803
18	0.8481433803
19	0.8481433803
20	0.8481433803
21	0.8481433803
22	0.8481433803
23	0.8481433803
24	0.8481433803
25	0.8481433803
26	0.8481433803
27	0.8481433803
28	0.8481433803
29	0.8481433803
30	0.8481433803
31	0.8481433803
32	0.8481433803
33	0.8481433803
34	0.8481433803
35	0.8481433803
36	0.8481433803
37	0.8481433803
38	0.8481433803
39	0.8481433803
40	0.8481433803
41	0.8481433803
42	0.8481433803
43	0.8481433803
44	0.8481433803
45	0.8481433803
46	0.8481433803
47	0.8481433803
48	0.8481433803
49	0.8481433803
50	0.8481433803
51	0.8481433803
52	0.8481433803
53	0.8481433803
54	0.8481433803
55	0.8481433803
56	0.8481433803
57	0.8481433803
58	0.8481433803
59	0.8481433803
60	0.8481433803
61	0.8481433803
62	0.8481433803
63	0.8481433803
64	0.8481433803
65	0.8481433803
66	0.8481433803
67	0.8481433803
68	0.8481433803
69	0.8481433803
70	0.8481433803
71	0.8481433803
72	0.8481433803
73	0.8481433803
74	0.8481433803
75	0.8481433803
76	0.8481433803
77	0.8481433803
78	0.8481433803
79	0.8481433803
80	0.8481433803
81	0.8481433803
82	0.8481433803
83	0.8481433803
84	0.8481433803
85	0.8481433803
86	0.8481433803
87	0.8481433803
88	0.8481433803
89	0.8481433803
90	0.8481433803
91	0.8481433803
92	0.8481433803
93	0.8481433803
94	0.8481433803
95	0.8481433803
96	0.8481433803
97	0.8481433803
98	0.8481433803
99	0.8481433803
100	0.8481433803
101	0.8481433803
102	0.8481433803
103	0.8481433803
104	0.8481433803
105	0.8481433803
106	0.8481433803
107	0.8481433803
108	0.8481433803
109	0.8481433803
110	0.8481433803
111	0.8481433803
112	0.8481433803
113	0.8481433803
114	0.8481433803
115	0.8481433803
116	0.8481433803
117	0.8481433803
118	0.8481433803
119	0.8481433803
120	0.8481433803
121	0.8481433803
122	0.8481433803
123	0.8481433803
124	0.8481433803
125	0.8481433803
126	0.8481433803
127	0.8481433803
128	0.8481433803
129	0.8481433803
130	0.8481433803
131	0.8481433803
132	0.8481433803
133	0.8481433803
134	0.8481433803
135	0.8481433803
136	0.8481433803
137	0.8481433803
138	0.8481433803
139	0.8481433803
140	0.8481433803
141	0.8481433803
142	0.8481433803
143	0.8481433803
144	0.8481433803
145	0.8481433803
146	0.8481433803
147	0.8481433803
148	0.8481433803
149	0.8481433803
150	0.8481433803
151	0.8481433803
152	0.8481433803
153	0.8481433803
154	0.8481433803
155	0.8481433803
156	0.8481433803
157	0.8481433803
158	0.8481433803
159	0.8481433803
160	0.8481433803
161	0.8481433803
162	0.8481433803
163	0.8481433803
164	0.8481433803
165	0.8481433803
166	0.8481433803
167	0.8481433803
168	0.8481433803
169	0.8481433803
170	0.8481433803
171	0.8481433803
172	0.8481433803
173	0.8481433803
174	0.8481433803
175	0.8481433803
176	0.8481433803
177	0.8481433803
178	0.8481433803
179	0.8481433803
180	0.8481433803
181	0.8481433803
182	0.8481433803
183	0.8481433803
184	0.8481433803
185	0.8481433803
186	0.8481433803
187	0.8481433803
188	0.8481433803
189	0.8481433803
190	0.8481433803
191	0.8481433803
192	0.8481433803
193	0.8481433803
194	0.8481433803
195	0.8481433803
196	0.8481433803
197	0.8481433803
198	0.8481433803
199	0.8481433803
200	0.8481433803
201	0.8481433803
202	0.8481433803
203	0.8481433803
204	0.8481433803
205	0.8481433803
206	0.8481433803
207	0.8481433803
208	0.8481433803
209	0.8481433803
210	0.8481433803
211	0.8481433803
212	0.8481433803
213	0.8481433803
214	0.8481433803
215	0.8481433803
216	0.8481433803
217	0.8481433803
218	0.8481433803
219	0.8481433803
220	0.8481433803
221	0.8481433803
222	0.8481433803
223	0.8481433803
224	0.8481433803
225	0.8481433803
226	0.8481433803
227	0.8481433803
228	0.8481433803
229	0.8481433803
230	0.8481433803
231	0.8481433803
232	0.8481433803
233	0.8481433803
234	0.8481433803
235	0.8481433803
236	0.8481433803
237	0.8481433803
238	0.8481433803
239	0.8481433803
240	0.8481433803
241	0.8481433803
242	0.8481433803
243	0.8481433803
244	0.8481433803
245	0.8481433803
246	0.8481433803
247	0.8481433803
248	0.8481433803
249	0.8481433803
250	0.8481433803
251	0.8481433803
252	0.8481433803
253	0.8481433803
254	0.8481433803
255	0.8481433803
256	0.8481433803
257	0.8481433803
258	0.8481433803
259	0.8481433803
260	0.8481433803
261	0.8481433803
262	0.8481433803
263	0.8481433803
264	0.8481433803
265	0.8481433803
266	0.8481433803
267	0.8481433803
268	0.8481433803
269	0.8481433803
270	0.8481433803
271	0.8481433803
272	0.8481433803
273	0.8481433803
274	0.8481433803
275	0.8481433803
276	0.8481433803
277	0.8481433803
278	0.8481433803
279	0.8481433803
280	0.8481433803
281	0.8481433803
282	0.8481433803
283	0.8481433803
284	0.8481433803
285	0.8481433803
286	0.8481433803
287	0.8481433803
288	0.8481433803
289	0.8481433803
290	0.8481433803
291	0.8481433803
292	0.8481433803
293	0.8481433803
294	0.8481433803
295	0.8481433803
296	0.8481433803
297	0.8481433803
298	0.8481433803
299	0.8481433803
300	0.8481433803
301	0.8481433803
302	0.8481433803
303	0.8481433803
304	0.8481433803
305	0.8481433803
306	0.8481433803
307	0.8481433803
308	0.8481433803
309	0.8481433803
310	0.8481433803
311	0.8481433803
312	0.8481433803
313	0.8481433803
314	0.8481433803
315	0.8481433803
316	0.8481433803
317	0.8481433803
318	0.8481433803
319	0.8481433803
320	0.8481433803
321	0.8481433803
322	0.8481433803
323	0.8481433803
324	0.8481433803
325	0.8481433803
326	0.8481433803
327	0.8481433803
328	0.8481433803
329	0.8481433803
330	0.8481433803
331	0.8481433803
332	0.8481433803
333	0.8481433803
334	0.8481433803
335	0.8481433803
336	0.8481433803
337	0.8481433803
338	0.8481433803
339	0.8481433803
340	0.8481433803
341	0.8481433803
342	0.8481433803
343	0.8481433803
344	0.8481433803
345	0.8481433803
346	0.8481433803
347	0.8481433803
348	0.8481433803
349	0.8481433803
350	0.8481433803
351	0.8481433803
352	0.8481433803
353	0.8481433803
354	0.8481433803
355	0.8481433803
356	0.8481433803
357	0.8481433803
358	0.8481433803
359	0.8481433803
360	0.8481433803
361	0.8481433803
362	0.8481433803
363	0.8481433803
364	0.8481433803
365	0.8481433803
366	0.8481433803
367	0.8481433803
368	0.8481433803
369	0.8481433803
370	0.8481433803
371	0.8481433803
372	0.8481433803
373	0.8481433803
374	0.8481433803
375	0.8481433803
376	0.8481433803
377	0.8481433803
378	0.8481433803
379	0.8481433803
380	0.8481433803
381	0.8481433803
382	0.8481433803
383	0.8481433803
384	0.8481433803
385	0.8481433803
386	0.8481433803
387	0.8481433803
388	0.8481433803
389	0.8481433803
390	0.8481433803
391	0.8481433803
392	0.8481433803
393	0.8481433803
394	0.8481433803
395	0.8481433803
396	0.8481433803
397	0.8481433803
398	0.8481433803
399	0.8481433803
400	0.8481433803
401	0.8481433803
402	0.8481433803
403	0.8481433803
404	0.8481433803
405	0.8481433803
406	0.8481433803
407	0.8481433803
408	0.8481433803
409	0.8481433803
410	0.8481433803
411	0.8481433803
412	0.8481433803
413	0.8481433803
414	0.8481433803
415	0.8481433803
416	0.8481433803
417	0.8481433803
418	0.8481433803
419	0.8481433803
420	0.8481433803
421	0.8481433803
422	0.8481433803
423	0.8481433803
424	0.8481433803
425	0.8481433803
426	0.8481433803
427	0.8481433803
428	0.8481433803
429	0.8481433803
430	0.8481433803
431	0.8481433803
432	0.8481433803
433	0.8481433803
434	0.8481433803
435	0.8481433803
436	0.8481433803
437	0.8481433803
438	0.8481433803
439	0.8481433803
440	0.8481433803
441	0.8481433803
442	0.8481433803
443	0.8481433803
444	0.8481433803
445	0.8481433803
446	0.8481433803
447	0.8481433803
448	0.8481433803
449	0.8481433803
450	0.8481433803
451	0.8481433803
452	0.8481433803
453	0.8481433803
454	0.8481433803
455	0.8481433803
456	0.8481433803
457	0.8481433803
458	0.8481433803
459	0.8481433803
460	0.8481433803
461	0.8481433803
462	0.8481433803
463	0.8481433803
464	0.8481433803
465	0.8481433803
466	0.8481433803
467	0.8481433803
468	0.8481433803
469	0.8481433803
470	0.8481433803
471	0.8481433803
472	0.8481433803
473	0.8481433803
474	0.8481433803
475	0.8481433803
476	0.8481433803
477	0.8481433803
478	0.8481433803
479	0.8481433803
480	0.8481433803
481	0.8481433803
482	0.8481433803
483	0.8481433803
484	0.8481433803
485	0.8481433803
486	0.8481433803
487	0.8481433803
488	0.8481433803
489	0.8481433803
490	0.8481433803
491	0.8481433803
492	0.8481433803
493	0.8481433803
494	0.8481433803
495	0.8481433803
496	0.8481433803
497	0.8481433803
498	0.8481433803
499	0.8481433803
500	0.8481433803
501	0.8481433803
502	0.8481433803
503	0.8481433803
